#Change list for the component /vobs/wtbu/OMAPSW_MPU/linux/system/
Action,Element type,Element Path,Branch,CR
New,directory,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager,/main/system-mm-linux_rel_3.x/4,"(""SR18838"")"
New,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/Makefile,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,directory,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/inc,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/inc/Makefile,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/inc/PolicyManager.h,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/inc/PolicyManagerAPI.h,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,directory,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/src,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/src/Makefile,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/src/PolicyManager.c,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
New,directory,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_policy_manager/test,/main/system-mm-linux_rel_3.x/1,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/docs/config_specs/handoff/12.x/OMAPSW_Handoff_SYSTEM_MM_MPU.txt,/main/system-mm-linux_rel_3.x/12,"(""SR11603,OMAPS00018323,SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/docs/config_specs/handoff/20.x/OMAPSW_Handoff_SYSTEM_MM_MPU.txt,/main/system-mm-linux_rel_3.x/5,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/docs/config_specs/handoff/20.x/SystemChangeList.csv,/main/3,"(""OMAPS00018323"")"
Changed,directory,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il,/main/system-mm-linux_rel_3.x/4,"(""FB12,OMAPS00018323,SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/audio_manager/src/AudioManager.c,/main/system-mm-linux_rel_3.x/14,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/audio_manager/src/AudioManager.c,/main/system-mm-linux_rel_3.x/13,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/audio_manager/src/AudioManager.c,/main/system-mm-linux_rel_3.x/12,"(""SR18838"")"
Changed,ms_word,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/lcml/docs/OMAPSSP_34xx_LCML_DesignSpec.doc,/main/system-mm-linux_rel_3.x/3,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_core/inc/Makefile,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00018233,OMAPS00018323,SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_core/src/Makefile,/main/system-mm-linux_rel_3.x/2,"(""SR14062,OMAPS00018323,SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_core/src/OMX_Core.c,/main/system-mm-linux_rel_3.x/21,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_core/src/OMX_Core.c,/main/system-mm-linux_rel_3.x/20,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/omx_core/src/OMX_Core.c,/main/system-mm-linux_rel_3.x/19,"(""SR18838"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/inc/perf.h,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00164720"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/inc/perf_custom.h,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00164720"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/inc/perf_log.h,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00164720"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/inc/perf_obj.h,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00164720"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/inc/perf_print.h,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00164720"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/reader/Makefile,/main/system-mm-linux_rel_3.x/2,"(""OMAPS00164720"")"
Changed,text_file,/vobs/wtbu/OMAPSW_MPU/linux/system/src/openmax_il/perf/reader/perf_reader.c,/main/system-mm-linux_rel_3.x/3,"(""OMAPS00164720"")"
