#Change list for the component \OMAPSW_MPU\linux\system,,,,
Action,Element type    ,Element Path,Branch,CR
New,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\activity_monitor_stub\inc\Makefile,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
New,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\activity_monitor_stub\inc\Resource_Activity_Monitor.h,\main\system-mm-linux_rel_2.x\1,"(""SR10367"")"
New,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\activity_monitor_stub\Makefile,\main\system-mm-linux_rel_2.x\1,"(""SR10367"")"
New,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\activity_monitor_stub\src\Makefile,\main\system-mm-linux_rel_2.x\1,"(""SR10367"")"
New,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\activity_monitor_stub\src\Resource_Activity_Monitor.c,\main\system-mm-linux_rel_2.x\1,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\audio_manager\inc\AudioManager.h,\main\system-mm-linux_rel_2.x\15,"(""SR10364,SR10365,SR10366,SR11832,SR11833,SR11834,SR11930,SR11959,SR11931,SR11932"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\audio_manager\inc\AudioManagerAPI.h,\main\system-mm-linux_rel_2.x\10,"(""SR10364,SR10365,SR10366,SR11832,SR11833,SR11834,SR11930,SR11959,SR11931,SR11932"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\audio_manager\src\AudioManager.c,\main\system-mm-linux_rel_2.x\23,"(""SR10364,SR10365,SR10366,SR11832,SR11833,SR11834,SR11930,SR11959,SR11931,SR11932"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\lcml\inc\LCML_DspCodec.h,\main\system-mm-linux_rel_2.x\11,"(""SR11648,SR14062,SR11603"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\lcml\src\LCML_DspCodec.c,\main\system-mm-linux_rel_2.x\31,"(""SR11648,SR14062,SR11603"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\Makefile,\main\system-mm-linux_rel_2.x\9,"(""OMAPS00018323"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\omx_core\src\OMX_Core.c,\main\system-mm-linux_rel_2.x\9,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\inc\perf.h,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\inc\perf_common.h,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\inc\perf_config.h,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\reader\perf_reader.c,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\src\perf.c,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\src\perf_config.c,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\tests\Makefile,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\perf\tests\perf_unittest.c,\main\system-mm-linux_rel_2.x\2,"(""SR10367"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\inc\ResourceManager.h,\main\system-mm-linux_rel_2.x\5,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\inc\ResourceManager.h,\main\system-mm-linux_rel_2.x\3,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\inc\ResourceManagerAPI.h,\main\system-mm-linux_rel_2.x\3,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\Makefile,\main\system-mm-linux_rel_2.x\3,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager\src\ResourceManager.c,\main\system-mm-linux_rel_2.x\8,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager_proxy\inc\ResourceManagerProxy.h,\main\system-mm-linux_rel_2.x\7,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager_proxy\inc\ResourceManagerProxyAPI.h,\main\system-mm-linux_rel_2.x\8,"(""SR14062"")"
Changed,text_file,\OMAPSW_MPU\linux\system\src\openmax_il\resource_manager_proxy\src\ResourceManagerProxy.c,\main\system-mm-linux_rel_2.x\12,"(""SR10419,SR11680,SR14080,SR10409,SR14062"")"
